instance,exact,approximate
70-1.6-3-0.33-0-0-100,20,21
70-3.1-3-0.1-0-0-41,38,40
70-1.0-3-0.16-0-0-31,16,18
70-1.6-3-0.1-0-0-61,24,26
70-1.0-3-0.13-0-0-92,17,18
70-1.3-3-0.46-0-0-10,14,14
70-1.0-3-0.46-0-0-81,9,10
70-1.3-3-0.41-0-0-12,17,17
70-2.5-3-0.42-0-0-10,31,31
70-1.3-3-0.3-0-0-42,16,18
70-1.0-3-0.35-0-0-22,14,14
70-1.3-3-0.04-0-0-31,21,22
70-3.1-3-0.12-0-0-71,37,38
70-1.0-3-0.34-0-0-33,12,13
70-2.2-3-0.32-0-0-42,28,29
70-4.0-3-0.04-0-0-20,46,48
70-2.2-3-0.3-0-0-71,29,30
70-1.0-3-0.36-0-0-11,11,12
70-1.0-3-0.37-0-0-41,14,14
70-3.1-3-0.04-0-0-10,40,43
70-1.6-3-0.24-0-0-20,23,26
70-1.6-3-0.0-0-0-32,27,28
70-1.3-3-0.03-0-0-81,21,23
70-1.3-3-0.35-0-0-11,19,20
70-2.5-3-0.31-0-0-30,31,33
70-2.5-3-0.02-0-0-60,36,38
70-2.2-3-0.02-0-0-32,34,36
70-1.0-3-0.18-0-0-100,14,14
70-4.0-3-0.01-0-0-80,44,45
70-1.3-3-0.41-0-0-33,15,17
70-1.6-3-0.1-0-0-21,26,27
70-3.4-3-0.02-0-0-10,42,44
70-1.0-3-0.02-0-0-64,17,18
70-1.3-3-0.16-0-0-50,18,18
70-3.1-3-0.41-0-0-51,35,37
70-3.1-3-0.2-0-0-21,39,40
70-1.3-3-0.33-0-0-2,19,20
70-1.6-3-0.2-0-0-100,25,27
70-2.2-3-0.13-0-0-21,31,33
70-1.6-3-0.02-0-0-40,29,30
70-2.2-3-0.03-0-0-11,34,35
70-1.0-3-0.36-0-0-81,11,12
70-1.0-3-0.22-0-0-73,16,16
70-1.0-3-0.43-0-0-43,12,12
70-1.0-3-0.15-0-0-72,18,18
70-3.1-3-0.43-0-0-60,35,38
70-2.5-3-0.33-0-0-10,29,30
70-1.0-3-0.01-0-0-24,17,18
70-1.0-3-0.06-0-0-41,14,16
70-3.4-3-0.01-0-0-10,43,44
70-4.0-3-0.21-0-0-11,43,46
70-1.0-3-0.43-0-0-80,12,12
70-1.0-3-0.37-0-0-51,12,12
70-1.0-3-0.45-0-0-22,11,11
70-4.0-3-0.23-0-0-40,43,46
70-1.0-3-0.35-0-0-62,14,14
70-3.4-3-0.21-0-0-60,40,42
70-3.1-3-0.23-0-0-41,39,41
70-1.0-3-0.23-0-0-23,15,15
70-1.0-3-0.12-0-0-53,17,19
70-2.5-3-0.33-0-0-100,32,34
70-2.5-3-0.15-0-0-99,33,35
70-2.2-3-0.23-0-0-1,32,34
70-1.0-3-0.3-0-0-3,15,16
70-1.6-3-0.34-0-0-10,20,21
70-1.0-3-0.03-0-0-3,17,19
70-1.0-3-0.36-0-0-71,12,13
70-4.0-3-0.12-0-0-20,44,46
70-1.6-3-0.0-0-0-41,25,26
70-4.0-3-0.41-0-0-61,38,39
70-2.2-3-0.04-0-0-20,34,36
70-2.5-3-0.23-0-0-20,33,35
70-1.6-3-0.31-0-0-1,24,27
70-4.0-3-0.2-0-0-21,41,42
70-1.0-3-0.13-0-0-63,16,16
70-1.3-3-0.35-0-0-80,16,17
70-3.1-3-0.03-0-0-1,41,42
70-3.4-3-0.41-0-0-10,37,39
70-2.2-3-0.01-0-0-12,34,35
70-1.3-3-0.1-0-0-91,19,19
70-4.0-3-0.44-0-0-100,39,43
70-1.6-3-0.03-0-0-30,26,28
70-1.3-3-0.31-0-0-53,19,19
70-1.0-3-0.07-0-0-21,16,16
70-2.2-3-0.01-0-0-22,33,34
70-1.3-3-0.21-0-0-3,17,19
70-3.1-3-0.15-0-0-37,40,43
70-3.1-3-0.5-0-0-10,31,34
70-1.0-3-0.11-0-0-51,16,17
70-2.2-3-0.34-0-0-50,29,29
70-4.0-3-0.34-0-0-100,41,44
70-3.1-3-0.35-0-0-50,34,36
70-1.3-3-0.5-0-0-41,12,13
70-1.0-3-0.2-0-0-64,16,17
70-1.6-3-0.11-0-0-80,26,28
70-4.0-3-0.4-0-0-130,39,41
70-2.2-3-0.23-0-0-90,31,35
70-1.3-3-0.31-0-0-42,19,20
70-2.5-3-0.02-0-0-30,38,40
70-2.2-3-0.31-0-0-72,27,30
70-2.2-3-0.2-0-0-2,30,32
70-1.6-3-0.11-0-0-41,25,26
70-3.4-3-0.02-0-0-60,42,43
70-1.0-3-0.43-0-0-3,12,13
70-1.0-3-0.4-0-0-52,15,15
70-2.2-3-0.31-0-0-32,28,29
70-2.2-3-0.16-0-0-30,33,35
70-2.2-3-0.14-0-0-30,32,33
70-3.1-3-0.02-0-0-71,38,40
70-1.6-3-0.03-0-0-100,27,28
70-2.5-3-0.02-0-0-10,39,41
70-1.0-3-0.46-0-0-31,10,10
70-3.1-3-0.33-0-0-61,36,38
70-2.2-3-0.21-0-0-81,29,31
70-2.5-3-0.12-0-0-30,35,37
70-1.3-3-0.32-0-0-32,18,19
70-1.3-3-0.02-0-0-22,21,21
70-1.3-3-0.24-0-0-11,19,21
70-1.3-3-0.1-0-0-43,22,23
70-4.3-3-0.0-0-0-40,47,49
70-3.4-3-0.02-0-0-50,43,45
70-2.2-3-0.3-0-0-1,31,33
70-4.0-3-0.43-0-0-100,38,39
70-1.0-3-0.28-0-0-20,12,13
70-3.7-3-0.18-0-0-47,41,43
70-1.0-3-0.24-0-0-13,13,13
70-3.1-3-0.44-0-0-40,32,33
70-1.0-3-0.08-0-0-100,17,18
70-2.5-3-0.0-0-0-41,35,37
70-1.3-3-0.04-0-0-11,21,22
70-2.2-3-0.26-0-0-20,27,29
70-1.3-3-0.03-0-0-31,22,24
70-3.4-3-0.22-0-0-60,40,43
70-1.0-3-0.1-0-0-93,17,17
70-2.2-3-0.14-0-0-61,31,32
70-1.0-3-0.18-0-0-30,14,14
70-1.0-3-0.27-0-0-41,13,13
70-4.0-3-0.2-0-0-1,43,44
70-2.2-3-0.44-0-0-31,27,28
70-3.1-3-0.04-0-0-100,41,45
70-3.1-3-0.2-0-0-61,39,42
70-1.0-3-0.06-0-0-33,15,17
70-4.3-3-0.37-0-0-197,39,41
70-2.5-3-0.31-0-0-41,33,35
70-1.3-3-0.31-0-0-91,19,21
70-1.3-3-0.24-0-0-1,17,19
70-2.2-3-0.34-0-0-10,27,28
70-3.1-3-0.15-0-0-100,40,41
70-1.0-3-0.0-0-0-93,18,20
70-4.0-3-0.21-0-0-41,44,46
70-1.0-3-0.05-0-0-91,15,16
70-2.2-3-0.13-0-0-80,31,34
70-1.0-3-0.4-0-0-63,12,12
70-2.5-3-0.11-0-0-50,35,36
70-3.4-3-0.41-0-0-100,38,40
70-3.7-3-0.46-0-0-68,37,39
70-2.5-3-0.43-0-0-50,29,30
70-1.6-3-0.04-0-0-30,28,30
70-3.4-3-0.32-0-0-40,37,40
70-1.0-3-0.12-0-0-64,14,15
70-2.5-3-0.23-0-0-40,33,36
70-3.1-3-0.1-0-0-2,40,42
70-2.5-3-0.03-0-0-100,34,36
70-3.1-3-0.03-0-0-61,41,44
70-4.3-3-0.21-0-0-179,44,46
70-2.2-3-0.21-0-0-22,31,32
70-4.0-3-0.01-0-0-71,45,48
70-1.3-3-0.22-0-0-82,17,19
70-3.4-3-0.32-0-0-10,39,41
70-1.0-3-0.31-0-0-64,13,14
70-1.0-3-0.27-0-0-80,13,13
70-3.1-3-0.15-0-0-40,38,40
70-2.2-3-0.03-0-0-90,32,35
70-1.0-3-0.46-0-0-71,10,11
70-1.0-3-0.06-0-0-1,18,19
70-4.0-3-0.12-0-0-50,45,46
70-1.3-3-0.23-0-0-51,20,22
70-1.3-3-0.25-0-0-51,18,19
70-4.0-3-0.41-0-0-31,39,39
70-1.6-3-0.22-0-0-41,22,22
70-1.0-3-0.0-0-0-74,18,19
70-1.0-3-0.43-0-0-23,10,11
70-1.3-3-0.43-0-0-51,13,16
70-3.1-3-0.35-0-0-30,35,37
70-1.0-3-0.45-0-0-72,10,10
70-1.0-3-0.24-0-0-52,15,15
70-2.5-3-0.3-0-0-50,32,34
70-1.3-3-0.42-0-0-12,15,17
70-1.0-3-0.23-0-0-83,13,13
70-1.6-3-0.11-0-0-90,26,27
70-1.0-3-0.05-0-0-42,16,17
70-3.4-3-0.12-0-0-40,39,42
70-1.3-3-0.12-0-0-72,22,23
70-2.2-3-0.24-0-0-41,31,33
70-1.3-3-0.1-0-0-52,21,23
70-1.6-3-0.0-0-0-1,27,28
70-4.3-3-0.41-0-0-220,41,44
70-1.0-3-0.13-0-0-43,16,17
70-2.2-3-0.31-0-0-22,28,30
70-1.0-3-0.14-0-0-13,16,18
70-4.0-3-0.22-0-0-101,43,45
70-4.3-3-0.49-0-0-59,38,40
70-1.0-3-0.22-0-0-1,14,14
70-4.0-3-0.22-0-0-80,43,45
70-1.3-3-0.25-0-0-30,18,18
70-1.6-3-0.34-0-0-100,22,23
70-1.3-3-0.13-0-0-71,20,23
70-2.2-3-0.0-0-0-53,32,33
70-1.3-3-0.01-0-0-23,23,25
70-2.5-3-0.31-0-0-51,31,33
70-4.0-3-0.12-0-0-80,45,48
70-1.3-3-0.43-0-0-42,17,18
70-3.4-3-0.42-0-0-20,36,38
70-3.1-3-0.01-0-0-52,43,43
70-1.3-3-0.1-0-0-63,23,24
70-3.1-3-0.11-0-0-62,39,40
70-1.0-3-0.03-0-0-13,18,19
70-1.0-3-0.33-0-0-43,12,13
70-2.2-3-0.04-0-0-40,34,36
70-1.6-3-0.3-0-0-10,20,23
70-2.2-3-0.0-0-0-72,35,37
70-3.1-3-0.3-0-0-31,36,36
70-2.2-3-0.11-0-0-32,33,34
70-4.0-3-0.2-0-0-80,43,45
70-1.6-3-0.4-0-0-30,21,23
70-2.2-3-0.34-0-0-61,29,31
70-1.0-3-0.2-0-0-14,14,15
70-1.6-3-0.43-0-0-60,21,23
70-1.6-3-0.32-0-0-50,23,23
70-1.0-3-0.38-0-0-70,11,12
70-1.3-3-0.1-0-0-82,21,23
70-4.0-3-0.0-0-0-52,45,47
70-2.2-3-0.06-0-0-40,34,37
70-1.0-3-0.26-0-0-71,14,16
70-2.2-3-0.35-0-0-70,26,28
70-2.5-3-0.12-0-0-100,34,36
70-1.3-3-0.45-0-0-60,17,18
70-1.6-3-0.32-0-0-100,23,24
70-3.1-3-0.05-0-0-50,42,43
70-1.6-3-0.22-0-0-31,24,26
70-1.0-3-0.24-0-0-12,15,15
70-1.0-3-0.02-0-0-83,17,17
70-1.3-3-0.5-0-0-20,15,16
70-1.3-3-0.32-0-0-91,18,20
70-2.5-3-0.0-0-0-80,38,39
70-2.2-3-0.32-0-0-31,28,30
70-1.0-3-0.03-0-0-53,17,18
70-1.0-3-0.23-0-0-3,16,17
70-1.0-3-0.17-0-0-71,14,14
70-1.0-3-0.42-0-0-34,13,14
70-1.3-3-0.5-0-0-51,13,15
70-1.0-3-0.38-0-0-10,10,11
70-4.0-3-0.22-0-0-111,42,43
70-1.0-3-0.47-0-0-80,13,13
70-1.0-3-0.03-0-0-23,16,17
70-1.0-3-0.06-0-0-12,16,17
70-1.0-3-0.26-0-0-31,15,16
70-1.0-3-0.17-0-0-70,16,16
70-1.6-3-0.21-0-0-80,23,24
70-1.6-3-0.43-0-0-10,19,21
70-1.0-3-0.28-0-0-10,14,16
70-1.0-3-0.27-0-0-31,13,13
70-1.6-3-0.12-0-0-60,26,27
70-3.4-3-0.22-0-0-50,40,42
70-2.5-3-0.02-0-0-100,37,40
70-4.0-3-0.4-0-0-150,39,40
70-3.4-3-0.42-0-0-10,37,38
70-1.6-3-0.4-0-0-21,19,22
70-1.0-3-0.43-0-0-73,13,13
70-2.5-3-0.1-0-0-60,37,38
70-2.5-3-0.41-0-0-60,29,31
70-3.1-3-0.01-0-0-62,41,44
70-3.4-3-0.32-0-0-50,39,41
70-4.0-3-0.0-0-0-102,45,48
70-1.0-3-0.34-0-0-3,12,12
70-3.1-3-0.34-0-0-76,35,36
70-3.1-3-0.0-0-0-82,41,44
70-1.6-3-0.2-0-0-40,21,24
70-1.3-3-0.12-0-0-62,21,22
70-2.2-3-0.23-0-0-81,32,34
70-1.0-3-0.22-0-0-92,13,14
70-4.0-3-0.11-0-0-81,44,47
70-3.1-3-0.12-0-0-31,39,41
70-3.4-3-0.01-0-0-40,42,44
70-1.3-3-0.15-0-0-1,23,24
70-2.2-3-0.22-0-0-32,29,30
70-1.3-3-0.12-0-0-12,21,25
70-1.3-3-0.32-0-0-62,18,20
70-2.2-3-0.21-0-0-32,31,32
70-4.0-3-0.02-0-0-80,46,47
70-3.1-3-0.3-0-0-70,37,39
70-1.0-3-0.2-0-0-92,14,15
70-1.0-3-0.21-0-0-64,14,15
70-1.0-3-0.47-0-0-70,11,12
70-2.2-3-0.43-0-0-1,27,29
70-3.1-3-0.35-0-0-100,35,37
70-3.1-3-0.01-0-0-22,40,42
70-3.1-3-0.4-0-0-50,34,35
70-1.3-3-0.05-0-0-20,22,23
70-1.6-3-0.32-0-0-11,22,23
70-4.0-3-0.12-0-0-1,45,48
70-1.3-3-0.46-0-0-30,16,18
70-1.0-3-0.44-0-0-32,9,10
70-1.3-3-0.1-0-0-3,21,22
70-4.0-3-0.1-0-0-61,44,47
70-1.0-3-0.05-0-0-32,17,18
70-1.0-3-0.25-0-0-62,14,14
70-1.0-3-0.48-0-0-60,10,10
70-1.6-3-0.4-0-0-10,22,23
70-1.0-3-0.46-0-0-51,9,10
70-2.2-3-0.32-0-0-90,28,29
70-3.4-3-0.31-0-0-50,38,39
70-1.3-3-0.43-0-0-90,15,15
70-2.5-3-0.47-0-0-63,26,28
70-2.2-3-0.11-0-0-62,31,32
70-1.6-3-0.17-0-0-8,25,28
70-1.6-3-0.2-0-0-1,24,25
70-1.3-3-0.02-0-0-32,23,26
70-1.3-3-0.24-0-0-80,21,22
70-1.0-3-0.13-0-0-33,16,17
70-1.6-3-0.42-0-0-31,18,21
70-1.3-3-0.36-0-0-30,16,16
70-1.6-3-0.12-0-0-100,24,25
70-2.2-3-0.13-0-0-90,32,35
70-1.3-3-0.3-0-0-12,18,18
70-1.0-3-0.26-0-0-90,13,13
70-3.1-3-0.02-0-0-1,41,45
70-1.0-3-0.17-0-0-17,15,16
70-3.1-3-0.45-0-0-100,31,32
70-1.6-3-0.0-0-0-51,26,26
70-1.0-3-0.48-0-0-100,11,12
70-2.2-3-0.01-0-0-82,34,36
70-2.2-3-0.4-0-0-60,27,28
70-3.1-3-0.04-0-0-30,38,39
70-2.5-3-0.06-0-0-49,34,37
70-1.3-3-0.02-0-0-91,24,25
70-3.4-3-0.31-0-0-30,37,38
70-1.6-3-0.12-0-0-10,25,26
70-1.3-3-0.35-0-0-100,19,20
70-4.0-3-0.12-0-0-101,43,45
70-1.3-3-0.42-0-0-91,15,17
70-1.0-3-0.07-0-0-71,15,15
70-1.3-3-0.41-0-0-72,18,18
70-1.0-3-0.2-0-0-34,15,16
70-1.3-3-0.13-0-0-41,21,23
70-3.4-3-0.1-0-0-100,42,43
70-1.0-3-0.42-0-0-73,12,13
70-1.3-3-0.5-0-0-70,14,15
70-2.2-3-0.0-0-0-52,32,33
70-3.1-3-0.12-0-0-61,40,42
70-2.2-3-0.44-0-0-41,25,27
70-1.6-3-0.34-0-0-20,22,23
70-4.0-3-0.0-0-0-81,46,48
70-1.0-3-0.24-0-0-72,13,14
70-1.3-3-0.04-0-0-21,22,22
70-2.2-3-0.23-0-0-21,29,32
70-1.3-3-0.14-0-0-11,20,20
70-4.0-3-0.1-0-0-90,44,46
70-4.0-3-0.2-0-0-70,43,45
70-2.5-3-0.1-0-0-10,37,40
70-1.3-3-0.45-0-0-21,15,16
70-3.4-3-0.11-0-0-10,41,43
70-3.4-3-0.33-0-0-68,36,39
70-2.5-3-0.22-0-0-50,33,34
70-4.0-3-0.22-0-0-21,42,44
70-4.0-3-0.22-0-0-31,43,46
70-1.3-3-0.13-0-0-52,22,24
70-3.1-3-0.2-0-0-81,36,38
70-1.0-3-0.25-0-0-42,15,16
70-3.4-3-0.11-0-0-100,41,42
70-2.2-3-0.44-0-0-30,26,27
70-1.3-3-0.42-0-0-62,17,19
70-1.0-3-0.11-0-0-74,18,19
70-3.1-3-0.31-0-0-62,36,37
70-3.4-3-0.2-0-0-60,40,41
70-2.5-3-0.41-0-0-51,28,30
70-2.5-3-0.01-0-0-11,36,39
70-1.0-3-0.02-0-0-70,18,18
70-1.3-3-0.01-0-0-30,23,25
70-1.6-3-0.23-0-0-60,22,23
70-4.3-3-0.41-0-0-320,41,43
70-2.2-3-0.35-0-0-100,30,31
70-1.0-3-0.15-0-0-12,13,13
70-1.0-3-0.12-0-0-21,15,17
70-2.5-3-0.41-0-0-21,30,32
70-1.0-3-0.21-0-0-44,14,15
70-2.5-3-0.41-0-0-30,32,33
70-1.6-3-0.23-0-0-30,23,24
70-1.0-3-0.24-0-0-32,15,15
70-4.3-3-0.11-0-0-200,45,46
70-4.0-3-0.0-0-0-42,45,46
70-4.0-3-0.0-0-0-90,45,46
70-2.5-3-0.21-0-0-1,35,37
70-1.3-3-0.33-0-0-61,16,18
70-4.0-3-0.12-0-0-41,43,45
70-1.6-3-0.12-0-0-21,25,27
70-4.0-3-0.23-0-0-20,43,44
70-4.0-3-0.12-0-0-111,44,46
70-2.5-3-0.41-0-0-11,29,30
70-1.6-3-0.32-0-0-22,20,20
70-1.3-3-0.13-0-0-31,22,23
70-1.0-3-0.0-0-0-64,17,19
70-1.3-3-0.24-0-0-90,20,21
70-1.0-3-0.2-0-0-63,16,16
70-1.0-3-0.18-0-0-70,14,15
70-1.3-3-0.34-0-0-21,20,22
70-4.0-3-0.21-0-0-61,43,46
70-4.3-3-0.31-0-0-250,44,45
70-2.2-3-0.43-0-0-71,24,25
70-2.2-3-0.24-0-0-60,31,32
70-1.0-3-0.47-0-0-61,11,11
70-1.6-3-0.02-0-0-10,27,28
70-1.0-3-0.27-0-0-21,13,13
70-1.0-3-0.37-0-0-1,11,12
70-1.0-3-0.26-0-0-61,14,14
70-1.0-3-0.15-0-0-42,15,16
70-1.6-3-0.32-0-0-60,21,22
70-2.2-3-0.36-0-0-30,27,29
70-1.3-3-0.26-0-0-40,18,18
70-1.6-3-0.33-0-0-60,21,22
70-1.0-3-0.15-0-0-2,14,14
70-2.2-3-0.4-0-0-30,29,31
70-3.1-3-0.33-0-0-40,37,37
70-2.2-3-0.25-0-0-40,30,33
70-2.2-3-0.06-0-0-20,35,39
70-1.3-3-0.41-0-0-32,15,15
70-1.3-3-0.42-0-0-2,16,17
70-4.3-3-0.0-0-0-170,47,50
70-1.0-3-0.01-0-0-1,19,21
70-2.2-3-0.24-0-0-1,32,33
70-3.4-3-0.11-0-0-50,42,44
70-1.0-3-0.42-0-0-23,11,11
70-1.3-3-0.14-0-0-41,20,21
70-3.1-3-0.44-0-0-20,34,36
70-1.6-3-0.01-0-0-51,27,29
70-1.6-3-0.31-0-0-51,23,24
70-1.3-3-0.06-0-0-10,23,24
70-1.3-3-0.42-0-0-52,19,21
70-2.2-3-0.45-0-0-50,26,28
70-1.3-3-0.45-0-0-50,16,17
70-2.2-3-0.41-0-0-52,28,31
70-2.5-3-0.21-0-0-51,34,37
70-1.0-3-0.02-0-0-53,16,16
70-2.2-3-0.45-0-0-70,25,26
70-4.0-3-0.4-0-0-50,38,41
70-3.4-3-0.0-0-0-70,44,46
70-3.4-3-0.13-0-0-55,41,42
70-2.5-3-0.31-0-0-20,30,31
70-4.0-3-0.32-0-0-60,39,40
70-4.0-3-0.1-0-0-31,45,47
70-1.3-3-0.44-0-0-90,16,16
70-3.1-3-0.01-0-0-90,42,43
70-2.2-3-0.45-0-0-100,26,27
70-3.1-3-0.44-0-0-70,33,36
70-4.3-3-0.1-0-0-100,46,47
70-1.6-3-0.04-0-0-20,26,26
70-4.0-3-0.32-0-0-120,44,47
70-1.0-3-0.26-0-0-11,14,14
70-2.2-3-0.33-0-0-11,28,29
70-1.6-3-0.01-0-0-71,27,29
70-1.0-3-0.11-0-0-54,15,15
70-1.0-3-0.5-0-0-81,10,11
70-2.2-3-0.05-0-0-30,33,35
70-1.0-3-0.42-0-0-31,11,11
70-2.5-3-0.11-0-0-80,32,34
70-2.2-3-0.04-0-0-70,33,34
70-4.0-3-0.32-0-0-110,43,44
70-2.2-3-0.3-0-0-31,27,29
70-4.0-3-0.3-0-0-120,42,43
70-2.5-3-0.0-0-0-11,37,39
70-1.3-3-0.01-0-0-3,22,25
70-2.2-3-0.2-0-0-90,32,34
70-1.3-3-0.03-0-0-2,23,24
70-4.0-3-0.1-0-0-101,44,46
70-1.0-3-0.21-0-0-93,15,16
70-1.3-3-0.34-0-0-90,18,18
70-1.0-3-0.16-0-0-42,16,16
70-3.1-3-0.14-0-0-70,40,40
70-4.0-3-0.13-0-0-50,45,47
70-4.0-3-0.11-0-0-90,44,46
70-3.1-3-0.32-0-0-1,35,38
70-4.0-3-0.2-0-0-111,44,44
70-4.3-3-0.11-0-0-220,46,48
70-1.0-3-0.46-0-0-2,10,10
70-1.0-3-0.44-0-0-33,12,13
70-2.2-3-0.12-0-0-71,31,33
70-4.0-3-0.02-0-0-11,45,47
70-4.0-3-0.03-0-0-10,44,45
